DATE,TEMPERATURE,HUMIDITY,PRECIPITATION,INSOLATION,LENGTH
2023-06-09,19.9,79.5,0.6,19.89,23.89
2023-06-10,20.5,89.3,0,8.12,24.04
2023-06-11,20.0,96.6,2.7,4.19,24.14
2023-06-12,20.9,88.6,0,16.43,24.4
2023-06-13,21.1,87.9,0,16.56,24.66
2023-06-14,20.9,84.9,9.4,21.41,24.91
2023-06-15,20.4,88.6,3.9,17.26,25.27
2023-06-16,21.8,78.9,0,29.83,25.42
2023-06-17,25.2,64.3,0,29.91,25.68
2023-06-18,24.7,74.5,0,23.93,25.83
2023-06-19,21.3,84.9,0,24.25,25.98
2023-06-20,21.1,81.3,0,20.15,26.13
2023-06-21,20.6,97.8,12.5,1.79,26.38
2023-06-22,20.3,86.0,0,18.24,26.64
2023-06-23,19.3,89.3,0.7,12.93,26.85
2023-06-24,20.6,87.5,0.0,15.54,27.11
2023-06-25,21.6,89.6,0,25.8,27.26
2023-06-26,21.9,99.5,29.9,1.48,27.51
2023-06-27,24.4,82.5,4.0,22.0,27.76
2023-06-28,24.7,75.8,0.0,26.7,27.91
2023-06-29,24.9,81.9,42.3,15.41,28.27
2023-06-30,21.8,98.8,19.3,7.26,28.52
2023-07-01,22.2,88.4,0,25.05,28.67
2023-07-02,24.5,74.8,0,25.79,28.82
2023-07-03,23.1,87.9,0,20.52,28.97
2023-07-04,22.3,96.8,0.0,7.37,29.12
2023-07-05,24.4,81.4,37.6,19.32,29.48
2023-07-06,28.0,51.8,0,28.59,29.48
2023-07-07,23.8,80.9,3.1,6.74,29.73
2023-07-08,22.1,99.6,8.4,5.37,29.98
2023-07-09,22.7,95.1,16.6,9.97,30.23
2023-07-10,25.4,84.3,0.0,15.58,30.49
2023-07-11,24.7,85.8,4.9,12.85,30.85
2023-07-12,25.2,81.9,0.1,26.55,31.1
2023-07-13,24.3,89.8,0.0,6.88,31.25
2023-07-14,23.5,100.0,40.7,0.55,31.5
2023-07-15,22.8,100.0,83.2,3.18,31.75
2023-07-16,24.2,85.6,3.5,19.58,32.11
2023-07-17,26.1,82.6,0.0,26.22,32.26
2023-07-18,24.0,92.6,20.6,8.49,32.51
2023-07-19,22.9,93.9,3.4,13.12,32.87
2023-07-20,23.0,92.1,0,20.51,33.02
2023-07-21,23.5,89.5,0,21.82,33.17
2023-07-22,24.3,92.1,0,18.12,33.43
2023-07-23,24.9,98.1,0.0,5.15,33.58
2023-07-24,25.0,98.1,0.4,8.08,33.83
2023-07-25,26.9,80.8,0,23.19,33.98
2023-07-26,28.1,74.5,0,27.13,33.98
2023-07-27,28.0,73.4,0,26.46,33.98
2023-07-28,28.0,83.3,0,26.02,33.98
2023-07-29,28.3,75.0,0,25.21,33.98
2023-07-30,28.5,83.3,0,25.97,33.98
2023-07-31,27.6,84.1,0,21.72,34.13
2023-08-01,27.6,85.5,0,25.5,34.28
2023-08-02,28.1,87.0,0,19.58,34.39
2023-08-03,29.1,79.0,0,24.49,34.39
2023-08-04,29.2,78.1,0,24.15,34.39
2023-08-05,28.8,78.4,0,25.95,34.39
2023-08-06,28.1,88.0,0,26.89,34.39
2023-08-07,27.9,94.5,0.1,8.37,34.64
2023-08-08,28.3,86.8,0,25.16,34.64
2023-08-09,27.7,94.6,2.2,9.82,34.89
2023-08-10,26.4,93.5,7.3,3.21,35.14
2023-08-11,25.5,93.6,0,12.81,35.4
2023-08-12,26.6,92.0,0,19.29,35.66
2023-08-13,26.5,89.6,0,19.91,35.92
2023-08-14,25.8,89.1,0.5,20.86,36.17
2023-08-15,23.4,97.0,1.8,8.14,36.42
